https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,tradecount
1642809600000,2022-01-22 00:00:00,AAVE/USDT,170.90000000,175.40000000,135.00000000,146.90000000,279002.33290000,42414244.43286600,171397
1642723200000,2022-01-21 00:00:00,AAVE/USDT,198.30000000,200.60000000,163.10000000,171.00000000,295579.02200000,54170237.36850000,205204
1642636800000,2022-01-20 00:00:00,AAVE/USDT,210.40000000,221.40000000,197.00000000,198.40000000,104323.14300000,22013580.47570000,94586
1642550400000,2022-01-19 00:00:00,AAVE/USDT,232.40000000,236.90000000,210.00000000,210.20000000,147663.61200000,32479309.22650000,132448
1642464000000,2022-01-18 00:00:00,AAVE/USDT,226.60000000,240.50000000,222.70000000,232.40000000,219683.61900000,50857093.12090000,234948
1642377600000,2022-01-17 00:00:00,AAVE/USDT,242.40000000,244.30000000,221.30000000,226.60000000,152666.48100000,35076677.51990000,153176
1642291200000,2022-01-16 00:00:00,AAVE/USDT,238.40000000,245.50000000,230.30000000,242.50000000,121073.73100000,28776986.92760000,152255
1642204800000,2022-01-15 00:00:00,AAVE/USDT,223.80000000,243.70000000,222.30000000,238.40000000,182510.09000000,42763065.71140000,187542
1642118400000,2022-01-14 00:00:00,AAVE/USDT,209.40000000,227.00000000,204.00000000,223.90000000,145344.43900000,31322786.42540000,133137
1642032000000,2022-01-13 00:00:00,AAVE/USDT,218.70000000,222.10000000,207.10000000,209.30000000,137541.45000000,29526827.36010000,117885
1641945600000,2022-01-12 00:00:00,AAVE/USDT,213.20000000,222.60000000,210.50000000,218.50000000,104713.62100000,22826330.06830000,89902
1641859200000,2022-01-11 00:00:00,AAVE/USDT,199.90000000,216.90000000,196.60000000,213.30000000,108697.97900000,22561158.25200000,102215
1641772800000,2022-01-10 00:00:00,AAVE/USDT,209.50000000,213.70000000,186.70000000,199.90000000,206153.55800000,41060505.58220000,134614
1641686400000,2022-01-09 00:00:00,AAVE/USDT,212.30000000,219.20000000,207.70000000,209.50000000,125345.26900000,26806164.24260000,93493
1641600000000,2022-01-08 00:00:00,AAVE/USDT,211.80000000,231.10000000,200.50000000,212.30000000,244685.02400000,53329524.22260000,196274
1641513600000,2022-01-07 00:00:00,AAVE/USDT,221.00000000,222.10000000,199.70000000,211.70000000,215595.28100000,45309212.98980000,172871
1641427200000,2022-01-06 00:00:00,AAVE/USDT,230.10000000,233.10000000,214.30000000,221.00000000,222989.25200000,49931787.37560000,165705
1641340800000,2022-01-05 00:00:00,AAVE/USDT,252.00000000,259.40000000,214.90000000,230.30000000,189611.08400000,46148761.67360000,208999
1641254400000,2022-01-04 00:00:00,AAVE/USDT,267.20000000,269.50000000,249.80000000,252.10000000,173580.45300000,45173923.18110000,195741
1641168000000,2022-01-03 00:00:00,AAVE/USDT,265.30000000,286.40000000,262.70000000,267.20000000,252013.49500000,69035139.98620000,318650
1641081600000,2022-01-02 00:00:00,AAVE/USDT,266.30000000,269.10000000,253.10000000,265.30000000,122031.04100000,31733597.88170000,117211
1640995200000,2022-01-01 00:00:00,AAVE/USDT,253.90000000,266.80000000,250.20000000,266.40000000,110355.45200000,28423195.09580000,109120
1640908800000,2021-12-31 00:00:00,AAVE/USDT,262.70000000,275.60000000,249.00000000,253.90000000,220819.58100000,58305203.13710000,229019
1640822400000,2021-12-30 00:00:00,AAVE/USDT,236.40000000,265.80000000,230.80000000,262.80000000,205841.28900000,51591046.27180000,187640
1640736000000,2021-12-29 00:00:00,AAVE/USDT,252.60000000,259.50000000,234.80000000,236.30000000,256243.71700000,63677790.90080000,188500
1640649600000,2021-12-28 00:00:00,AAVE/USDT,277.50000000,296.80000000,252.20000000,252.70000000,439629.19400000,121975669.35480000,623351
1640563200000,2021-12-27 00:00:00,AAVE/USDT,268.10000000,293.30000000,265.60000000,277.50000000,229927.52900000,65152880.76190000,367908
1640476800000,2021-12-26 00:00:00,AAVE/USDT,263.70000000,277.50000000,250.10000000,267.80000000,182402.86300000,47888604.56260000,213973
1640390400000,2021-12-25 00:00:00,AAVE/USDT,270.30000000,280.80000000,257.40000000,263.70000000,211797.81300000,56749240.04360000,258085
1640304000000,2021-12-24 00:00:00,AAVE/USDT,247.00000000,279.40000000,243.10000000,270.40000000,374374.77900000,97838719.11260000,583052
1640217600000,2021-12-23 00:00:00,AAVE/USDT,206.60000000,248.40000000,203.80000000,246.90000000,448038.80000000,103364029.60250000,525321
